"249325_at" "255997_s_at"
"259365_at" "264474_s_at"
"264859_at" "256309_at"
"261410_at" "267002_s_at"
"261791_at" "254970_at"
"260284_at" "248128_at"
"262180_at" "252929_at"
"259813_at" "263345_s_at"
"249266_at" "255886_at"
"261806_at" "257807_at"
"265475_at" "248151_at"
"262912_at" "253738_at"
"248551_at" "262632_at"
"252367_at" "259727_at"
"262399_at" "251325_s_at"
"247218_at" "265033_at"
"255230_at" "267526_at"
"259015_at" "258897_at"
"266313_at" "253009_at"
"251396_at" "264092_at"
"263096_at" "245061_at"
"255945_at" "258993_at"
"257645_at" "255290_at"
"245977_at" "255435_at"
"263378_at" "257206_at"
"252368_at" "254234_at"
"260623_at" "245044_at"
"246142_at" "262557_at"
"257670_at" "254790_at"
"261927_at" "259892_at"
"265766_at" "252430_at"
"248392_at" "247073_at"
"251950_at" "264545_at"
"245117_at" "259625_at"
"248844_s_at" "251082_at"
"261309_at" "255248_at"
"250149_at" "245047_at"
"247149_at" "251814_at"
"250234_at" "266421_at"
"252991_at" "261746_at"
"257363_at" "259491_at"
"266800_at" "256527_at"
"AFFX-ThrX-M_at" "265560_at"
"249375_at" "263046_at"
"260325_at" "259840_at"
"252882_at" "267635_at"
"262323_at" "249482_at"
"265649_at" "254818_at"
"264313_at" "254102_at"
"249327_at" "263761_at"
"263539_at" "249125_at"
"247101_at" "246595_at"
"249928_at" "251664_at"
"AFFX-PheX-M_at" "247679_at"
"252293_at" "246463_at"
"255479_at" "265998_at"
"260405_at" "244962_at"
"246216_at" "260236_at"
"260393_at" "254398_at"
"254231_at" "266716_at"
"245209_at" "263350_at"
"266799_at" "245006_at"
"250286_at" "258239_at"
"256891_at" "260637_at"
"264217_at" "261197_at"
"260005_at" "252463_at"
"261475_at" "250500_at"
"246996_at" "263073_at"
"247199_at" "255720_at"
"260226_at" "248886_at"
"246108_at" "260014_at"
"253864_at" "256168_at"
"249770_at" "247320_at"
"257029_at" "263676_at"
"248048_at" "245012_at"
"AFFX-r2-Bs-dap-5_at" "245213_at"
"261892_at" "261518_at"
"262171_at" "259838_at"
"AFFX-r2-Bs-phe-M_at" "258434_at"
"261487_at" "263184_at"
"264716_at" "267233_s_at"
"261443_at" "244976_at"
"253259_at" "257225_s_at"
"247026_at" "250243_at"
"266851_at" "267126_s_at"
"258139_at" "244972_at"
"248794_at" "251762_at"
"254665_at" "245021_at"
"253113_at" "245306_at"
"246340_s_at" "258285_at"
"263972_at" "263709_at"
"253104_at" "266835_at"
"253043_at" "245736_at"
"250944_at" "259723_at"
"257999_at" "245023_at"
"253316_s_at" "250054_at"
"265221_s_at" "265374_at"
"267028_at" "253040_at"
"256962_at" "245001_at"
"259681_at" "261751_at"
"263922_s_at" "263231_at"
"266834_s_at" "245024_at"
"247215_at" "249942_at"
"258606_at" "245195_at"
"256522_at" "245004_at"
"AFFX-r2-Bs-thr-M_s_at" "258114_at"
"245775_at" "247052_at"
"AFFX-ThrX-5_at" "244935_at"
"249890_at" "265182_at"
"AFFX-PheX-5_at" "253387_at"
"AFFX-DapX-M_at" "260481_at"
"AFFX-r2-Bs-lys-M_at" "250073_at"
"258075_at" "264185_at"
"AFFX-r2-Bs-thr-5_s_at" "245014_at"
"254141_at" "265200_s_at"
"AFFX-r2-Bs-phe-5_at" "245318_at"
"247776_at" "256454_at"
"247913_at" "250991_at"
"AFFX-DapX-5_at" "267024_s_at"
"AFFX-LysX-M_at" "259544_at"
"264202_at" "254225_at"
"247921_at" "246888_at"
"262128_at" "249876_at"
"255686_at" "262645_at"
"259445_at" "244960_at"
"248611_at" "264837_at"
"251745_at" "245483_at"
"260744_at" "262373_at"
"266010_at" "260540_at"
"255041_at" "258076_at"
"AFFX-r2-Ec-bioB-M_at" "265569_at"
"263575_at" "250498_at"
"264246_at" "252943_at"
"AFFX-r2-Bs-lys-3_at" "255567_at"
"257748_at" "245013_at"
"247778_at" "262884_at"
"252397_at" "256880_at"
"247775_at" "266636_at"
"245034_at" "254480_at"
"AFFX-r2-Bs-dap-M_at" "257205_at"
"254652_at" "257311_at"
"262133_at" "259224_at"
"255734_at" "248961_at"
"253408_at" "259743_at"
"252511_at" "267138_s_at"
"265732_at" "252130_at"
"256009_at" "266988_at"
"258350_at" "245528_at"
"247727_at" "266750_s_at"
"AFFX-ThrX-3_at" "254623_at"
"AFFX-PheX-3_at" "256825_at"
"245041_at" "266743_at"
"254200_at" "267116_at"
"246233_at" "262536_at"
"257697_at" "250157_at"
"248267_at" "258094_at"
"261749_at" "244961_at"
"253832_at" "265247_at"
"246868_at" "245020_at"
"247674_at" "263150_at"
"246584_at" "257173_at"
"253485_at" "253922_at"
"259801_at" "259384_at"
"246993_at" "253911_at"
"245258_at" "245009_at"
"265668_at" "263482_at"
"259879_at" "248828_at"
"253180_at" "257809_at"
"267614_at" "251400_at"
"263742_at" "245048_at"
"264757_at" "254298_at"
"255302_at" "247131_at"
"258338_at" "257699_at"
"246327_at" "245924_at"
"247240_at" 
"260814_at" 
"266584_s_at" 
"245677_at" 
"262284_at" 
"249203_at" 
"254524_at" 
"263722_at" 
"245867_at" 
"249197_at" 
"247693_at" 
"259866_at" 
"265618_at" 
"265674_at" 
"265184_at" 
"260227_at" 
"AFFX-r2-Bs-thr-3_s_at" 
"AFFX-r2-Bs-phe-3_at" 
"245779_at" 
"247768_at" 
"247208_at" 
"267178_at" 
"245981_at" 
"254158_at" 
"265216_at" 
"265359_at" 
"250455_at" 
"245151_at" 
"248208_at" 
"251536_at" 
"256762_at" 
"266832_at" 
"265062_at" 
"256674_at" 
"261438_at" 
"260399_at" 
"255937_at" 
"265740_at" 
"251665_at" 
