"AT1G13300" "AT1G30380"
"AT5G40850" "AT4G10340"
"AT1G24280" "AT5G54770"
"AT1G07610" "AT4G38970"
"AT1G16170" "AT1G20340"
"AT1G80380" "AT3G26650"
"AT1G49860" "AT5G54270"
"AT1G78050" "AT1G60950"
"AT5G41670" "AT1G06680"
"AT1G59740" "AT4G28750"
"AT1G30510" "AT1G61520"
"AT2G15620" "AT2G30570"
"AT5G50200" "AT3G05730"
"AT3G48360" "AT4G37930"
"AT1G49500" "AT1G79040"
"AT5G65010" "AT3G08940"
"AT3G07350" "AT4G04640"
"AT4G05390" "AT2G39730"
"AT2G26980" "AT4G03280"
"AT2G16060" "AT3G16530"
"AT3G25790" "AT4G23680"
"AT3G60750" "AT2G26500"
"AT5G13110" "AT1G31330"
"AT2G40180" "AT4G12800"
"AT3G48520" "AT3G47470"
"AT5G28610" "AT5G66570"
"AT1G08090" "AT1G72610"
"AT5G19970" "AT1G55670"
"AT1G22500" "AT1G42970"
"AT2G48080" "AT5G01530"
"AT3G20340" "AT1G08380"
"AT5G52050" "AT3G54890"
"AT2G41560" "AT4G05180"
"AT3G53600" "ATCG00020"
"AT5G65660" "AT2G38540"
"AT4G38470" "AT1G66100"
"AT5G13420" "AT1G15820"
"AT1G63940" "AT2G05520"
"AT2G22880" "AT1G52230"
"AT5G14700" "AT2G05380"
"AT1G64190" "AT2G42220"
"AT4G39675" "AT4G12470"
"AT5G40730" "AT5G38980"
"AT2G27510" "AT4G25050"
"AT1G70410" "AT5G59540"
"AT5G66530" "AT2G21330"
"AT5G40890" "AT5G14780"
"AT2G24850" "AT3G56940"
"AT5G22250" "AT2G24270"
"AT4G02380" "ATCG01050"
"AT3G48990" "AT5G43450"
"AT4G36380" "AT5G16970"
"AT5G12340" "AT4G21280"
"AT4G23810" "AT2G46820"
"AT1G69930" "AT2G13360"
"AT1G73920" "AT1G62380"
"AT5G13320" "ATCG00340"
"AT2G22860" "AT3G27690"
"AT3G19030" "AT1G12900"
"AT1G60190" "AT5G46110"
"AT5G65210" "AT3G47070"
"AT5G67420" "AT1G74470"
"AT1G67920" "AT2G17500"
"AT1G14550" "AT1G68010"
"AT5G28630" "AT5G64040"
"AT1G74660" "AT1G51805"
"AT4G27460" "AT1G05560"
"AT3G19240" "AT5G09530"
"AT5G24110" "AT1G32060"
"AT5G56080" "ATCG00440"
"AT1G74950" "AT1G71695"
"AT1G80840" "AT1G44575"
"AT5G47220" "AT1G09340"
"AT1G14340" "AT1G52220"
"AT1G70170" "AT3G16770"
"AT5G67080" "ATCG00080"
